source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
204|Mamajek 1||08 42.1|-79 02|0.4|105|6.9
342|NGC 5359||14 00.1|-70 23|0.17|2500|8.3
257|ESO 062-11||10 38.9|-69 02|0.12|910|8.53
65|NGC 1901||05 18.2|-68 26|0.5|409|8.93
343|Ruprecht 110||14 05.5|-67 28|0.23|1300|8.74
357|vdBergh-Hagen 164||14 48.2|-66 20|0.4|550|7.14
323|Collinder 269||13 23.5|-66 11|0.17|1300|8.52
356|Alessi 6||14 40.3|-66 07|0.42|437|8.3
229|Ruprecht 84||09 49.1|-65 15|0.12|1800|8.56
258|Melotte 101||10 42.2|-65 06|0.2|1995|8.35
339|Loden 995||13 54.3|-64 57|0.22|2400|8.34
313|NGC 4463||12 29.9|-64 47|0.13|1050|7.97
307|Loden 615||12 20.6|-64 47|0.16|1000|8.63
300|Ruprecht 98||11 58.7|-64 35|0.35|610|8.78
259|IC 2602|theta Car|10 42.4|-64 24|2.5|160|7.83
302|Ruprecht 99||12 03.3|-63 53|0.13|660|9.29
279|vdBergh-Hagen 111||11 09.2|-63 50|0.11|2700|8.35
295|IC 2948||11 39.4|-63 29|0.08|2600|6.75
288|Ruprecht 94||11 30.7|-63 27|0.25|3400|7.19
320|NGC 5045||13 14.2|-63 23|0.38|1500|7.11
337|Platais 12||13 52.5|-63 22|1.25|435|8.23
294|vdBergh-Hagen 121||11 38.1|-63 20|0.25|2735|6.64
301|NGC 4052||12 01.2|-63 13|0.15|1209|8.4
315|NGC 4609||12 42.3|-62 59|0.14|1223|7.78
292|IC 2944||11 36.1|-62 57|0.24|1794|6.9
336|NGC 5281||13 46.6|-62 55|0.15|1108|7.76
332|Trumpler 21||13 32.2|-62 48|0.18|1312|7.76
286|IC 2714||11 17.5|-62 44|0.17|1238|8.41
230|NGC 3036||09 49.3|-62 40|0.12|1200|8.61
296|Stock 14||11 43.8|-62 31|0.12|2146|7
322|Stock 16||13 18.8|-62 31|0.22|1640|6.78
325|Loden 807||13 24.7|-62 30|0.18|925|8.3
327|Basel 18||13 28.1|-62 21|0.15|2226|7.92
341|Lynga 1||14 00.1|-62 09|0.12|2283|8.15
297|Ruprecht 96||11 50.6|-62 08|0.12|860|9
309|NGC 4349||12 24.2|-61 52|0.22|2176|8.32
338|NGC 5316||13 53.9|-61 52|0.28|1215|8.19
272|Bochum 12||10 57.4|-61 43|0.12|2218|7.68
268|Ruprecht 92||10 53.2|-61 43|0.18|2362|7.53
293|NGC 3766||11 36.2|-61 37|0.23|1745|7.52
314|Ruprecht 105||12 34.3|-61 34|0.14|950|9.01
348|Loden 1256||14 18.2|-61 26|0.2|1400|8.41
275|Ruprecht 93||11 04.4|-61 22|0.13|1437|8.64
350|Lynga 2||14 24.4|-61 20|0.22|1000|8.42
329|Collinder 272||13 30.4|-61 19|0.15|2045|7.02
239|Ruprecht 161||10 08.8|-61 17|0.3|940|8.39
298|Loden 481||11 52.0|-61 17|0.28|1520|8.19
303|NGC 4103||12 06.7|-61 15|0.23|1664|7.59
328|Hogg 16||13 29.3|-61 12|0.09|1585|7.26
261|Alessi 5||10 43.1|-61 10|0.3|398|7.71
354|Trumpler 22||14 31.0|-61 10|0.14|1516|8.11
277|Loden 306||11 06.0|-61 08|0.2|2000|6.76
271|Collinder 236||10 57.3|-61 07|0.2|800|8.37
330|NGC 5168||13 31.1|-60 56|0.12|1777|7.74
312|Hogg 23||12 28.6|-60 55|0.1|1250|8.31
284|NGC 3590||11 13.0|-60 47|0.17|1651|7.55
310|Collinder 258|vdBergh-Hagen 133|12 27.2|-60 46|0.18|1198|8.05
175|NGC 2516||07 58.1|-60 45|0.7|346|8.08
317|Loden 694||12 53.0|-60 45|0.3|1700|7.38
289|Ruprecht 164||11 30.8|-60 44|0.12|780|9
291|Loden 402||11 32.7|-60 43|0.15|2450|8.2
305|Loden 565||12 08.1|-60 43|0.2|650|8.05
353|NGC 5617||14 29.8|-60 43|0.18|1533|8.02
283|Trumpler 18||11 11.5|-60 40|0.16|1358|7.77
316|Loden 682||12 47.3|-60 39|0.17|900|8.41
280|Loden 309||11 09.7|-60 35|0.09|600|8.63
238|Hogg 6||10 06.6|-60 30|0.09|1600|8.61
366|NGC 6025||16 03.3|-60 26|0.38|769|7.96
273|NGC 3496||10 59.6|-60 23|0.15|990|8.62
168|ESO 123-26||07 52.2|-60 22|0.22|550|8.33
318|NGC 4755|kappa Cru|12 53.6|-60 22|0.23|1976|6.98
237|Trumpler 12||10 06.5|-60 18|0.11|1300|8.81
281|NGC 3572||11 10.4|-60 15|0.11|2004|6.88
335|Loden 1010||13 44.8|-60 15|0.25|700|8.69
252|Bochum 9||10 35.8|-60 07|0.16|710|8.38
234|NGC 3114||10 02.0|-60 06|0.45|911|8.24
311|NGC 4439||12 28.4|-60 06|0.09|1785|7.71
262|Collinder 228||10 43.8|-60 05|0.35|1909|6.68
321|NGC 5043||13 16.1|-60 04|0.17|970|8.79
274|Pismis 17||11 01.1|-59 52|0.17|3504|7.32
248|Collinder 223||10 30.4|-59 49|0.15|1686|8.41
278|Feinstein 1||11 07.0|-59 49|0.4|1159|6.97
324|Loden 821||13 24.0|-59 47|0.2|2800|7.29
265|Trumpler 16|eta Car|10 45.2|-59 43|0.12|2842|6.9
344|Loden 1194||14 05.7|-59 43|0.18|500|8.53
346|Loden 1225||14 09.1|-59 43|0.16|1500|8.67
352|NGC 5606||14 27.8|-59 38|0.2|1805|6.84
319|NGC 4852||13 00.1|-59 35|0.2|1330|8.63
263|Trumpler 14||10 43.9|-59 33|0.1|2753|6.67
306|ESO 130-08||12 10.3|-59 31|0.2|800|9.02
365|Ruprecht 113||15 57.5|-59 29|0.45|810|8.23
264|Trumpler 15||10 44.7|-59 22|0.08|2117|7.08
304|ESO 130-06||12 07.7|-59 18|0.19|2200|8.33
333|Loden 915||13 34.1|-59 15|0.25|500|8.44
334|Platais 10||13 41.7|-59 13|2|246|8.2
270|Trumpler 17||10 56.4|-59 12|0.11|2189|7.51
216|Platais 8||09 07.8|-59 08|3|150|7.75
255|vdBergh-Hagen 99||10 37.9|-59 08|0.32|531|7.86
260|Bochum 10||10 42.4|-59 08|0.2|2027|6.93
282|Basel 17||11 10.5|-59 02|0.13|1637|7.88
326|NGC 5138||13 27.2|-59 02|0.2|1986|7.55
347|Ruprecht 167||14 18.2|-58 58|0.21|2000|8.57
285|Stock 13||11 13.1|-58 53|0.23|1577|7.37
245|Loden 143||10 28.4|-58 47|0.35|600|8.45
276|NGC 3532||11 06.0|-58 44|0.6|497|8.45
240|vdBergh-Hagen 91||10 17.3|-58 42|0.15|740|8.21
254|NGC 3324||10 37.3|-58 38|0.16|2301|6.72
290|Loden 372||11 30.9|-58 29|0.1|1200|8.55
331|Ruprecht 108||13 32.2|-58 28|0.2|901|8.41
299|Loden 480||11 56.0|-58 24|0.15|1200|8.71
340|Loden 1171||13 59.4|-58 23|0.11|500|8.45
249|Ruprecht 90||10 31.8|-58 14|0.18|6000|7.1
269|ESO 128-16||10 53.7|-58 14|0.16|900|8.92
253|NGC 3293||10 35.8|-58 14|0.08|2471|6.94
235|Loden 28||10 03.2|-58 09|0.2|3950|7.3
244|Ruprecht 89||10 28.4|-58 08|0.1|750|8.98
251|Loden 153||10 34.7|-58 08|0.1|2670|6.74
405|ESO 139-13||17 37.7|-58 08|0.08|1500|8.78
371|NGC 6087||16 18.8|-57 56|0.48|901|7.93
243|IC 2581||10 27.5|-57 38|0.18|2446|7.22
364|Collinder 292||15 49.9|-57 37|0.2|1500|8.73
266|Ruprecht 91||10 47.6|-57 28|0.15|900|8.63
220|IC 2488||09 27.7|-57 00|0.3|1134|8.53
349|ESO 175-06||14 18.7|-56 55|0.18|550|8.6
246|Loden 89||10 29.2|-56 47|0.3|380|8.47
250|Loden 112||10 32.4|-56 42|0.14|2500|6.96
355|NGC 5662||14 35.6|-56 37|0.32|678|7.64
228|NGC 3033||09 48.6|-56 25|0.14|922|8.62
267|Loden 189||10 50.3|-56 25|0.28|720|8.64
215|ESO 165-09||09 05.2|-55 58|0.15|450|8.96
236|Loden 1||10 05.0|-55 48|0.18|360|9.29
361|NGC 5823||15 05.5|-55 36|0.13|1192|8.9
368|Lynga 7||16 10.7|-55 17|0.15|750|7.11
233|Ruprecht 85||10 01.6|-55 01|0.1|1400|8.7
370|Harvard 10|Collinder 299|16 18.8|-54 56|0.55|1312|7.87
242|Loden 46||10 23.2|-54 50|0.32|540|9.03
351|NGC 5593||14 25.6|-54 48|0.18|850|8.77
219|vdBergh-Hagen 66||09 25.3|-54 43|0.13|7000|7.48
358|NGC 5749||14 48.9|-54 30|0.13|1031|7.41
360|NGC 5822||15 04.4|-54 24|0.53|917|8.83
369|NGC 6067||16 13.2|-54 13|0.25|1417|8.01
256|NGC 3330|Harvard 4|10 38.8|-54 07|0.19|894|8.3
247|Loden 59||10 30.3|-54 04|0.16|650|8.45
227|Ruprecht 82||09 45.8|-54 00|0.1|2455|8.5
217|ESO 166-04||09 10.5|-53 53|0.16|885|8.45
225|Ruprecht 79||09 41.0|-53 51|0.2|1979|7.84
384|NGC 6208||16 49.4|-53 44|0.14|939|9.07
221|Ruprecht 78||09 29.2|-53 42|0.16|1641|7.14
224|NGC 2925||09 33.2|-53 22|0.3|774|8.05
231|Pismis 16||09 51.2|-53 10|0.1|1824|7.72
202|IC 2391||08 40.6|-53 02|1.25|176|7.88
209|NGC 2669||08 46.4|-52 56|0.25|1046|7.97
222|NGC 2910||09 30.5|-52 55|0.11|2607|7.46
376|NGC 6152||16 32.7|-52 38|0.36|1030|8.65
363|Loden 2313||15 40.8|-52 29|0.19|1410|8.74
359|Hogg 18||14 50.7|-52 16|0.12|1535|7.58
372|Ruprecht 116||16 23.3|-52 00|0.1|900|8.95
241|NGC 3228||10 21.4|-51 44|0.18|499|8.43
375|Ruprecht 119||16 28.3|-51 30|0.12|956|7.43
362|Alessi 8||15 29.6|-51 14|0.31|575|7.92
232|Collinder 213||09 54.6|-50 55|0.15|1400|8.84
397|IC 4651||17 24.8|-49 56|0.18|888|8.92
377|NGC 6167||16 34.6|-49 46|0.17|1108|8.16
183|NGC 2547||08 10.1|-49 13|0.3|457|7.7
374|NGC 6134||16 27.8|-49 09|0.13|913|8.53
367|Nor OB5||16 10.6|-49 02|1|1800|7.11
214|Collinder 205|Markarian 18|09 00.5|-48 59|0.16|1500|7.03
208|NGC 2670||08 45.5|-48 48|0.14|1188|8.1
380|NGC 6193||16 41.3|-48 46|0.25|1155|6.9
345|NGC 5460||14 07.4|-48 20|0.38|673|8.31
205|IC 2395||08 42.5|-48 07|0.35|709|7.08
182|Vel OB2||08 09.5|-47 54|1.2|411|7.26
381|NGC 6200||16 44.1|-47 28|0.2|2054|7
410|Alessi 9||17 43.9|-47 11|1.4|195|8.42
383|Hogg 22||16 46.6|-47 05|0.08|1297|6.7
382|NGC 6204||16 46.1|-47 01|0.08|1085|8.28
211|Ruprecht 71||08 49.4|-46 51|0.16|1300|8.78
129|Alessi 3||07 16.3|-46 37|0.55|288|8.87
199|Pismis 6||08 39.1|-46 14|0.15|1668|7.58
207|Bochum 7||08 44.8|-45 58|0.19|5754|7.08
390|NGC 6250||16 58.0|-45 56|0.4|865|7.42
378|NGC 6178||16 35.8|-45 38|0.16|1014|7.51
206|NGC 2659||08 42.6|-44 59|0.12|1713|7.23
389|NGC 6249||16 57.7|-44 49|0.2|981|7.54
195|vdBergh-Hagen 34||08 31.3|-44 30|0.25|950|8.48
196|Pismis 4||08 34.6|-44 29|0.4|593|8.11
218|Platais 9||09 14.2|-44 08|3.3|200|8.09
200|Ruprecht 65||08 39.2|-44 03|0.24|500|8.57
226|Ruprecht 80||09 42.1|-44 01|0.13|2500|8.33
203|Ruprecht 67||08 41.6|-43 22|0.12|1504|8.38
379|NGC 6192||16 40.4|-43 22|0.17|1547|8.13
213|vdBergh-Hagen 56||08 57.1|-43 15|0.3|680|7.24
287|NGC 3680||11 25.6|-43 14|0.21|934|9.09
395|NGC 6322||17 18.4|-42 56|0.12|995|7.16
210|Trumpler 10||08 47.7|-42 27|0.75|417|7.38
385|NGC 6231||16 54.2|-41 50|0.22|1250|6.81
386|ESO 332-08||16 54.7|-40 43|0.13|1200|8.17
388|vdBergh-Hagen 205||16 56.2|-40 40|0.06|2160|7.12
373|NGC 6124||16 25.3|-40 39|0.55|470|8.34
188|Ruprecht 56||08 12.5|-40 28|0.36|410|8.7
400|Ruprecht 125||17 29.6|-40 28|0.17|1500|8.77
198|Ruprecht 64||08 37.3|-40 09|0.62|800|8.45
409|Trumpler 29|Harvard 17|17 41.5|-40 09|0.18|760|8.69
391|NGC 6268||17 02.2|-39 44|0.14|1029|8.24
387|NGC 6242||16 55.6|-39 28|0.28|1131|7.63
418|Sco OB5||17 52.6|-38 38|0.58|3310|6.86
159|NGC 2451A||07 41.3|-38 32|1.65|188|7.76
167|NGC 2477||07 52.1|-38 32|0.22|1222|8.61
392|NGC 6281||17 04.7|-37 59|0.45|494|8.51
406|Collinder 338||17 38.1|-37 43|0.26|880|8.65
162|NGC 2451B||07 44.5|-37 40|0.4|430|7.88
186|NGC 2546||08 11.9|-37 37|0.61|919|7.92
133|Collinder 135||07 17.8|-37 10|1.1|319|7.54
407|NGC 6400||17 40.2|-36 57|0.21|950|8.78
223|Turner 5||09 32.5|-36 28|1.65|400|8.49
190|vdBergh-Hagen 23||08 14.1|-36 22|0.32|437|7.14
194|Collinder 185||08 23.3|-36 20|0.14|1486|8.18
44|Alessi 13||03 28.2|-35 54|3.2|110|8.72
161|Ruprecht 31||07 43.0|-35 36|0.13|480|8.56
394|Bochum 13||17 17.4|-35 33|0.18|1077|7.08
421|Trumpler 30||17 56.8|-35 16|0.13|1000|8.31
416|NGC 6444||17 49.6|-34 49|0.17|560|9
176|Ruprecht 44||07 58.9|-28 35|0.14|4655|7.33
420|NGC 6475|M 7|17 53.8|-34 47|1.2|300|8.22
401|Collinder 333||17 31.5|-34 01|0.15|855|8.9
403|Trumpler 27||17 36.4|-33 31|0.25|1211|7.47
393|Sco OB4||17 12.6|-33 22|1.7|1100|6.82
187|Ruprecht 55||08 12.5|-32 35|0.2|4892|6.97
402|NGC 6383||17 34.8|-32 34|0.25|985|6.71
404|Trumpler 28||17 37.0|-32 29|0.13|1343|6.89
411|NGC 6416||17 44.3|-32 22|0.22|741|8.78
396|vdBergh-Hagen 221||17 18.7|-32 20|0.23|750|8.01
408|NGC 6405|M 6|17 40.3|-32 12|0.4|487|7.91
136|Collinder 140||07 23.3|-32 04|0.5|402|7.57
156|NGC 2439||07 40.7|-31 41|0.18|3855|6.82
399|Antalova 1||17 28.9|-31 34|0.22|850|8.5
413|NGC 6425||17 47.0|-31 32|0.13|778|8.34
179|Ruprecht 47||08 02.3|-31 04|0.15|3006|8.07
126|Collinder 132||07 13.6|-31 02|0.3|411|7.51
181|ESO 430-18||08 06.8|-30 50|0.2|830|9.05
191|Haffner 26||08 15.7|-30 50|0.1|1000|7.47
192|NGC 2567||08 18.5|-30 38|0.17|1677|8.64
3|Blanco 1||00 03.3|-30 08|2.9|269|8.32
417|Basel 5||17 52.4|-30 06|0.15|766|8.54
155|Haffner 13||07 40.5|-30 05|0.48|714|7.51
174|NGC 2489||07 56.3|-30 04|0.11|3700|7.25
197|NGC 2627||08 37.3|-29 57|0.13|2034|8.71
193|NGC 2571||08 19.0|-29 45|0.3|1339|7.22
398|Trumpler 26||17 28.6|-29 30|0.16|2800|8.38
415|Ruprecht 131||17 49.3|-29 15|0.11|600|9.17
177|Ruprecht 43||07 59.3|-28 54|0.15|1300|8.47
121|Ruprecht 12||07 07.3|-28 13|0.17|900|7.56
180|NGC 2527||08 05.0|-28 09|0.5|601|8.85
172|NGC 2483||07 55.6|-27 54|0.14|1659|7.49
426|NGC 6520||18 03.4|-27 53|0.11|1577|7.75
154|ESO 493-03||07 39.7|-27 17|0.15|1400|8.6
185|Ruprecht 53||08 10.8|-27 00|0.18|1700|8.59
